Date,Province,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,Location Level,Population,Population Density,Longitude,Latitude,Total Deaths per 100rb,Month,Year
10/28/2021,Jawa Timur,398056,29609,368009,438,Province,40479023,846.78,112.7329414,-7.723345579,73.15,10,2021
10/28/2021,Jawa Barat,705430,14693,689543,1194,Province,45161325,1276.55,107.6037083,-6.920432083,32.53,10,2021
10/29/2021,Banten,132289,2685,129344,260,Province,10722374,1109.64,106.1090043,-6.456736388,25.04,10,2021
10/29/2021,DKI Jakarta,861332,13580,846774,978,Province,10846145,16334.31,106.8361183,-6.204698991,125.21,10,2021
10/29/2021,Daerah Istimewa Yogyakarta,155797,5246,150166,385,Province,3631015,1158.9,110.4448783,-7.89450185,144.48,10,2021
10/29/2021,Jawa Barat,705587,14695,689628,1264,Province,45161325,1276.55,107.6037083,-6.920432083,32.54,10,2021
10/29/2021,Jawa Tengah,484991,30121,452925,1945,Province,36364072,1108.64,110.2011149,-7.259097177,82.83,10,2021
10/29/2021,Jawa Timur,398110,29614,368065,431,Province,40479023,846.78,112.7329414,-7.723345579,73.16,10,2021
10/30/2021,DKI Jakarta,861428,13581,846917,930,Province,10846145,16334.31,106.8361183,-6.204698991,125.21,10,2021
10/30/2021,Daerah Istimewa Yogyakarta,155829,5247,150192,390,Province,3631015,1158.9,110.4448783,-7.89450185,144.51,10,2021
10/30/2021,Jawa Barat,705729,14695,689663,1371,Province,45161325,1276.55,107.6037083,-6.920432083,32.54,10,2021
10/30/2021,Banten,132307,2685,129371,251,Province,10722374,1109.64,106.1090043,-6.456736388,25.04,10,2021
10/30/2021,Jawa Tengah,485056,30126,452988,1942,Province,36364072,1108.64,110.2011149,-7.259097177,82.85,10,2021
10/30/2021,Jawa Timur,398191,29620,368132,439,Province,40479023,846.78,112.7329414,-7.723345579,73.17,10,2021
10/31/2021,Banten,132335,2686,129385,264,Province,10722374,1109.64,106.1090043,-6.456736388,25.05,10,2021
10/31/2021,DKI Jakarta,861541,13582,846994,965,Province,10846145,16334.31,106.8361183,-6.204698991,125.22,10,2021
